               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11195,            0.028581,                   0,            0.004471,             0.65517,           0.0049087,          0.00098163,             0.10088,            0.014815,                   0,              0.0001,              0.0001,              0.0991
                   1,             0.10381,            0.031006,                   0,           0.0049174,             0.72414,           0.0057732,          0.00098245,            0.093847,            0.015229,                   0,             0.00021,             0.00021,             0.09811
                   2,              0.1006,            0.035718,                   0,           0.0050125,             0.31034,           0.0050217,          0.00088691,            0.088291,            0.015412,                   0,             0.00032,             0.00032,             0.09712
                   3,            0.097836,            0.036486,                   0,           0.0050125,             0.31034,           0.0041426,          0.00074706,            0.086138,            0.015301,                   0,          0.00042999,          0.00042999,             0.09613
                   4,            0.095755,            0.037888,                   0,           0.0053505,                 0.5,           0.0045098,          0.00075634,            0.084219,             0.01519,                   0,          0.00053998,          0.00053998,             0.09514
                   5,            0.093021,            0.037997,                   0,           0.0056083,             0.34483,           0.0038812,          0.00063671,            0.083731,            0.015106,                   0,          0.00064996,          0.00064996,             0.09415
                   6,            0.092619,            0.036521,                   0,           0.0053489,             0.32759,           0.0039941,          0.00066075,            0.082536,             0.01516,                   0,          0.00075994,          0.00075994,             0.09316
                   7,             0.09261,            0.035817,                   0,           0.0050845,             0.31034,           0.0038924,          0.00074323,            0.082257,            0.015179,                   0,          0.00086991,          0.00086991,             0.09217
                   8,            0.093249,            0.041555,                   0,           0.0057037,             0.32759,           0.0037674,          0.00080082,            0.082179,            0.015267,                   0,          0.00097986,          0.00097986,             0.09118
                   9,            0.092299,            0.039302,                   0,           0.0065178,             0.31034,           0.0039205,          0.00063783,            0.082936,            0.015181,                   0,           0.0010898,           0.0010898,             0.09019
                  10,            0.090567,            0.037558,                   0,           0.0057272,             0.27586,           0.0032526,          0.00055643,            0.082585,            0.015243,                   0,           0.0011997,           0.0011997,              0.0892
                  11,            0.094462,            0.037976,                   0,           0.0062808,              0.2931,           0.0035234,          0.00065567,            0.081983,            0.015296,                   0,           0.0013096,           0.0013096,             0.08821
                  12,             0.09538,            0.038398,                   0,           0.0066983,             0.27586,           0.0034058,          0.00073889,            0.082421,            0.015254,                   0,           0.0014195,           0.0014195,             0.08722
                  13,            0.089376,            0.042215,                   0,            0.070033,            0.017241,           0.0042837,           0.0012621,            0.084832,            0.015116,                   0,           0.0015294,           0.0015294,            0.086229
                  14,            0.089946,            0.037326,                   0,           0.0044492,             0.31034,           0.0029244,          0.00061707,            0.086619,            0.014857,                   0,           0.0016393,           0.0016393,            0.085239
                  15,            0.091447,            0.037636,                   0,           0.0082241,            0.017241,           0.0034269,          0.00065042,            0.088632,            0.014762,                   0,           0.0017491,           0.0017491,            0.084249
                  16,            0.089073,            0.038826,                   0,            0.018425,             0.24138,            0.009366,           0.0018569,            0.098965,            0.013937,                   0,           0.0018589,           0.0018589,            0.083259
                  17,            0.095651,            0.045802,                   0,            0.029398,            0.017241,             0.00626,           0.0011595,             0.10615,            0.017809,                   0,           0.0019687,           0.0019687,            0.082269
                  18,            0.086545,            0.036401,                   0,           0.0064373,             0.36207,           0.0053341,           0.0010672,             0.10339,            0.020064,                   0,           0.0020785,           0.0020785,            0.081279
                  19,            0.087997,            0.037104,                   0,            0.007731,              0.2069,           0.0053333,            0.001093,             0.10348,            0.017908,                   0,           0.0021882,           0.0021882,            0.080288
                  20,            0.088599,            0.034761,                   0,            0.011276,             0.24138,           0.0073699,           0.0013548,            0.094134,            0.014934,                   0,            0.002298,            0.002298,            0.079298
                  21,            0.086821,            0.038528,                   0,           0.0080177,             0.15517,           0.0046673,          0.00078974,             0.08818,            0.014616,                   0,           0.0024076,           0.0024076,            0.078308
                  22,            0.090434,            0.036955,                   0,           0.0063022,             0.10345,           0.0037417,          0.00080964,            0.085041,            0.014887,                   0,           0.0025173,           0.0025173,            0.077317
                  23,            0.090726,            0.039301,                   0,            0.011458,             0.15517,           0.0059959,           0.0011617,            0.085965,            0.014698,                   0,           0.0026269,           0.0026269,            0.076327
                  24,            0.092652,            0.037963,                   0,            0.024855,            0.017241,           0.0058198,           0.0010647,            0.090122,            0.014234,                   0,           0.0027365,           0.0027365,            0.075336
                  25,            0.086692,            0.033767,                   0,            0.013153,              0.2069,           0.0065028,           0.0011458,            0.085865,            0.014789,                   0,            0.002846,            0.002846,            0.074346
                  26,            0.090283,            0.036471,                   0,            0.015323,            0.017241,           0.0040251,          0.00082812,            0.083624,            0.014976,                   0,           0.0029556,           0.0029556,            0.073356
                  27,            0.087121,            0.034515,                   0,            0.007254,             0.27586,           0.0041806,          0.00069546,            0.082863,            0.015196,                   0,            0.003065,            0.003065,            0.072365
                  28,             0.08608,            0.037097,                   0,           0.0058956,             0.36207,           0.0041847,          0.00066204,            0.082022,            0.015234,                   0,           0.0031745,           0.0031745,            0.071374
                  29,            0.086785,            0.036275,                   0,           0.0080955,             0.12069,           0.0043611,          0.00074552,            0.081138,            0.015254,                   0,           0.0032839,           0.0032839,            0.070384
                  30,             0.08868,            0.041431,                   0,             0.16234,            0.017241,           0.0067582,           0.0022179,            0.081397,            0.015145,                   0,           0.0033932,           0.0033932,            0.069393
                  31,             0.09076,            0.037642,                   0,            0.044625,            0.017241,           0.0043289,           0.0012498,             0.08181,            0.015117,                   0,           0.0035025,           0.0035025,            0.068403
                  32,            0.087558,            0.037989,                   0,            0.068897,            0.017241,           0.0057499,           0.0013352,            0.079515,            0.015459,                   0,           0.0036118,           0.0036118,            0.067412
                  33,            0.087672,            0.040343,                   0,            0.017216,            0.051724,           0.0061013,          0.00093324,            0.079575,            0.015363,                   0,            0.003721,            0.003721,            0.066421
                  34,            0.089031,            0.041044,                   0,             0.12955,            0.017241,           0.0085468,           0.0012633,            0.078447,            0.015537,                   0,           0.0038302,           0.0038302,             0.06543
